Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,C_Small,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_SOD-323,63,D_Small,
"D64, D65",0805,2,LED_Small,
J4,LowHeightJoyStickWithButton,1,Stick,
"R1, R2, R3, R4",0603,4,R_Small,
"SW1, SW62",SW_THBP07-043CW,2,SW_Push,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW63, SW66, SW67, SW7, SW8, SW9",SW_Tactile_6x6mm_2Pin_P5.0mm,63,SW_Push,
SW65,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
U1,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,~,
U2,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP23017_SO,
