Designator,Mid X,Mid Y,Rotation,Layer
C1,74.0313,-26.75,270.0,top
C2,86.4,-35.625,180.0,top
D1,30.5,-29.5,180.0,top
D10,51.45,-59.25,0.0,top
D11,53.45,-67.75,0.0,top
D12,55.45,-76.25,0.0,top
D13,55.45,-50.75,0.0,top
D14,59.95,-59.25,0.0,top
D15,61.95,-67.75,0.0,top
D16,63.95,-76.25,0.0,top
D17,63.95,-50.75,0.0,top
D18,68.45,-59.25,0.0,top
D19,70.45,-67.75,0.0,top
D2,29.95,-50.75,0.0,top
D20,72.45,-76.25,0.0,top
D21,72.45,-50.75,0.0,top
D22,76.95,-59.25,0.0,top
D23,78.95,-67.75,0.0,top
D24,80.95,-76.25,0.0,top
D25,80.95,-50.75,0.0,top
D26,85.4,-59.25,0.0,top
D27,87.4,-67.75,0.0,top
D28,89.45,-76.25,0.0,top
D29,89.2,-84.75,0.0,top
D3,32.2,-59.25,0.0,top
D30,89.45,-50.75,0.0,top
D31,93.95,-59.25,0.0,top
D32,95.9,-67.75,0.0,top
D33,97.95,-76.25,0.0,top
D34,103.65,-84.75,0.0,top
D35,97.95,-50.75,0.0,top
D36,102.45,-59.25,0.0,top
D37,104.4,-67.75,0.0,top
D38,106.4,-76.25,0.0,top
D39,112.15,-84.75,0.0,top
D4,33.25,-67.75,0.0,top
D40,106.45,-50.75,0.0,top
D41,110.95,-59.25,0.0,top
D42,112.95,-67.75,0.0,top
D43,114.9,-76.25,0.0,top
D44,120.65,-84.75,0.0,top
D45,114.9,-50.75,0.0,top
D46,119.45,-59.25,0.0,top
D47,121.4,-67.75,0.0,top
D48,123.4,-76.25,0.0,top
D49,129.2,-84.75,0.0,top
D5,38.5,-50.75,0.0,top
D50,123.45,-50.75,0.0,top
D51,127.95,-59.25,0.0,top
D52,129.9,-67.75,0.0,top
D53,131.9,-76.25,0.0,top
D54,137.7,-84.75,0.0,top
D55,131.9,-50.75,0.0,top
D56,136.4,-59.25,0.0,top
D57,138.4,-67.75,0.0,top
D58,142.15,-76.25,0.0,top
D59,140.45,-50.75,0.0,top
D6,43.0,-59.25,0.0,top
D60,146.9,-59.25,0.0,top
D61,146.4,-67.75,0.0,top
D62,141.25,-30.5,180.0,top
D63,147.4,-50.75,0.0,top
D64,126.025,-26.5,180.0,top
D65,131.525,-26.5,180.0,top
D7,45.0,-67.75,0.0,top
D8,47.0,-76.25,0.0,top
D9,46.95,-50.75,0.0,top
J4,45.306,-34.556,0.0,top
R1,86.4,-32.6,0.0,top
R2,86.4,-34.1,180.0,top
R3,126.025,-29.0,0.0,top
R4,131.565,-29.0,0.0,top
SW1,30.1,-25.3,0.0,top
SW10,47.2,-55.0,0.0,top
SW11,49.2,-63.5,0.0,top
SW12,51.2,-72.0,0.0,top
SW13,51.2,-46.5,0.0,top
SW14,55.7,-55.0,0.0,top
SW15,57.7,-63.5,0.0,top
SW16,59.7,-72.0,0.0,top
SW17,59.7,-46.5,0.0,top
SW18,64.2,-55.0,0.0,top
SW19,66.2,-63.5,0.0,top
SW2,25.7,-46.5,0.0,top
SW20,68.2,-72.0,0.0,top
SW21,68.2,-46.5,0.0,top
SW22,72.7,-55.0,0.0,top
SW23,74.7,-63.5,0.0,top
SW24,76.7,-72.0,0.0,top
SW25,76.7,-46.5,0.0,top
SW26,81.2,-55.0,0.0,top
SW27,83.2,-63.5,0.0,top
SW28,85.2,-72.0,0.0,top
SW29,84.95,-80.5,0.0,top
SW3,27.95,-55.0,0.0,top
SW30,85.2,-46.5,0.0,top
SW31,89.7,-55.0,0.0,top
SW32,91.7,-63.5,0.0,top
SW33,93.7,-72.0,0.0,top
SW34,99.45,-80.5,0.0,top
SW35,93.7,-46.5,0.0,top
SW36,98.2,-55.0,0.0,top
SW37,100.2,-63.5,0.0,top
SW38,102.2,-72.0,0.0,top
SW39,107.95,-80.5,0.0,top
SW4,28.95,-63.5,0.0,top
SW40,102.2,-46.5,0.0,top
SW41,106.7,-55.0,0.0,top
SW42,108.7,-63.5,0.0,top
SW43,110.7,-72.0,0.0,top
SW44,116.45,-80.5,0.0,top
SW45,110.7,-46.5,0.0,top
SW46,115.2,-55.0,0.0,top
SW47,117.2,-63.5,0.0,top
SW48,119.2,-72.0,0.0,top
SW49,124.95,-80.5,0.0,top
SW5,34.2,-46.5,0.0,top
SW50,119.2,-46.5,0.0,top
SW51,123.7,-55.0,0.0,top
SW52,125.7,-63.5,0.0,top
SW53,127.7,-72.0,0.0,top
SW54,133.45,-80.5,0.0,top
SW55,127.7,-46.5,0.0,top
SW56,132.2,-55.0,0.0,top
SW57,134.2,-63.5,0.0,top
SW58,137.95,-72.0,0.0,top
SW59,136.2,-46.5,0.0,top
SW6,38.7,-55.0,0.0,top
SW60,142.7,-55.0,0.0,top
SW61,143.7,-63.5,0.0,top
SW62,140.4,-25.3,0.0,top
SW63,144.7,-46.5,0.0,top
SW65,82.2,-24.1,180.0,top
SW66,25.7,-75.0,0.0,top
SW67,34.2,-75.0,0.0,top
SW7,40.7,-63.5,0.0,top
SW8,42.7,-72.0,0.0,top
SW9,42.7,-46.5,0.0,top
U1,54.6669,-40.9058,0.0,top
U2,80.0,-36.625,90.0,top
